段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
適用月B(単月あり)	MB-4	反映実行+結果確認	チェック選択後→反映する	チェックON月にデフォルト適用/チェックOFF月は現状維持。予算一覧で確認	MB-4.png	設定画面+予算構成+年間予実+予実対比+月次集計	適用結果	チェックOFF→単月設定¥555,555維持/チェックON→単月設定削除+デフォルト¥1,528,659復帰。全画面反映OK	OK	チェックOFF→維持、チェックON→上書き 両方正常動作。実績側NGはR-5既知問題
設定管理	RS-1	一覧+情報+計算式	P-0保存後	全パラメータ一致	RS-1.png	設定画面	一覧+情報+計算式	段階別歩合/最大値選択/3段階/固定180,532/5%8%10%/最低保証800,000/対象率50%/適用開始03/01 全一致	OK	全項目一致
設定管理	RS-2	複数適用開始日	03/01+05/01	2行表示	RS-2.png	設定画面	共存	FIX-4で複数適用開始日の登録が可能に。03/01+05/01+06/01の3行共存確認	OK(FIX-4で確認済)	修正により複数適用開始日が登録可能になった
設定管理	RS-3	設定削除	05/01を削除	他に影響なし	RS-3.png	設定画面	削除後	03/01(過去)+04/01(現在)+05/01(将来)の3行構成で04/01を削除。削除ダイアログ「現在適用中の設定を削除すると賃料計算が0円になります」表示OK。削除後05/01+03/01の2行、03/01が「過去」→「現在」に昇格。予算データ正常フォールバック	OK	削除ダイアログ表示・削除動作・ステータス遷移・予算フォールバックすべて正常
設定管理	RS-4	編集(適用日変更なし)	最低保証額を¥500,000→¥600,000に変更(適用開始日04/01のまま)	更新成功/5月が¥600,000に変更/4月は歩合維持	RS-4.png	設定画面+予算構成+年間予実+予実対比	編集後	更新OK/5月¥500,000→¥600,000(最低保証反映)/4月¥1,528,679(歩合>最低保証で維持)	OK	適用日変えず内容変更OK。他月に不正な影響なし
設定管理	RS-5	複数月の単月設定	4月¥555,555+5月¥450,000の単月設定を作成	単月設定一覧に2行表示/予算構成に反映/他月に影響なし	RS-5.png	設定画面+予算構成+年間予実+予実対比+月次集計+感度分析	複数月の独立管理	単月設定一覧:4月¥555,555/5月¥450,000の2行表示OK。予算構成:3月¥800,000(デフォルト)/4月¥555,555/5月¥450,000/6月¥800,000(デフォルト)。年間予実:4月予算=実績=¥555,555(100%)。差額表示OK。全画面正常反映	OK	複数月の単月設定が独立管理され、他月のデフォルト計算額に影響なし
不具合(一覧)	BUG-1	新規設定で前月設定消える	03/01ありで04/01追加	2行が残る	BUG-1.png	設定画面	03/01が消えないか	FIX-4で修正済。複数適用開始日の登録が可能になり、旧設定が消失しなくなった	OK(FIX-4で修正確認済)	FIX-4で賃料設定一覧に03/01+05/01+06/01の3行共存を確認。前月設定消失の不具合解消
不具合(一覧)	BUG-2	親設定消失後のデフォルト	BUG-1で03/01消失時	デフォルト800,000のまま	BUG-2.png	単月モーダル	計算額と条件詳細	FIX-4でBUG-1解消済。複数適用開始日が登録可能になったためBUG-2の前提も解消	OK(FIX-4で修正確認済)	BUG-1解消に伴い検証不要
不具合(モーダル)	BUG-3	単月のみ指定→単月扱い	3月のみチェックON	親設定DEFAULTとして適用	BUG-3.png	モーダル+設定画面	単月設定扱いか	修正後:親設定適用後に「単月設定はありません」表示	修正確認OK	修正済:親設定適用時に単月設定として保存されなくなった
不具合(モーダル)	BUG-4	単月チェック→更新不可	単月設定月にチェックON	DEFAULTで更新	BUG-4.png	予算一覧+予実対比	更新されるか	MB-4で確認済（チェックON→上書きOK）	修正確認OK	MB-4検証時にチェックON→デフォルト上書き正常動作を確認
不具合(単月)	BUG-5	リセットでデフォルト戻らず	555,555をリセット	800,000に復帰	BUG-5.png	単月モーダル	デフォルト計算額	S-5で確認済（リセットOK）	修正確認OK	S-5検証時にリセット→デフォルト計算額復帰を確認
不具合(単月)	BUG-6	計算式不正+差額非表示	条件詳細展開/555,555入力	段階別歩合/大きい方+差額244,445	BUG-6.png	単月モーダル	条件+差額	S-1のImage 157で確認（計算条件詳細表示OK、差額表示OK）	修正確認OK	計算条件詳細・差額表示ともに正常動作を確認
不具合(単月)	BUG-7	設定値変更でデフォルトも変化	555,555→400,000に変更	デフォルト600,000のまま	BUG-7.png	単月モーダル	デフォルトが連動しないか	¥555,555→¥400,000に変更してもデフォルト計算額¥600,000のまま固定。差額表示も正常	修正確認OK	デフォルト計算額が入力値に連動せず正常
不具合(単月)	BUG-8	単月設定が実績に未反映	555,555設定後の全画面	予算=実績=555,555	BUG-8.png	予実対比+年間予実+集計	実績が単月ベースか	S-3で確認済（予算=実績OK）	修正確認OK	S-3検証時に予算=実績の一致を確認
適用日不具合	BUG2-1	予算作成済み月へ変更	03/01を04/01に変更	保存可否	BUG2-1.png	設定画面	保存可否	R-7で確認済（03/01→04/01変更可。ただし前月¥0消失=NG）	確認済(NG)	R-7の適用開始日後ろ倒しで再現。保存自体は可能だが前月データ消失
適用日不具合	BUG2-2	新規追加で回避	新規に04/01追加	保存成功	BUG2-2.png	設定画面	新規は可能か	FIX-4で修正済。新規追加（06/01）が正常動作。3行共存確認	OK(FIX-4で確認済)	複数適用開始日の新規追加が可能になった
適用日不具合	BUG2-3	予算未作成月へ変更	07/01に変更	保存可否	BUG2-3.png	設定画面	予算有無の影響	R-9で確認済（05/01変更可。前月¥0消失=NG）	確認済(NG)	R-9の適用開始日変更で同様の不具合を確認
適用日不具合	BUG2-4	過去月への変更	01/01に変更	保存可否	BUG2-4.png	設定画面	過去月エラー	R-8で確認済（04/01→03/01前倒し変更OK）	確認済(OK)	R-8で前倒し変更が正常動作することを確認
適用日不具合	BUG2-5	同一適用日で内容変更	03/01のまま内容変更	保存成功	BUG2-5.png	設定画面	内容変更可能か	RS-4で確認済（適用日変更なしの内容変更OK）	確認済(OK)	RS-4で同一適用日での内容変更が正常動作
改善	IMP-1	期間選択UI追加	年間予実+予算一覧の現状	カレンダー選択追加要望	IMP-1.png	年間予実+予算一覧	期間選択UI			未検証	予実対比にはある
改善	IMP-3	モーダル:予算未設定月・複数月の表示改善	予算未設定月や複数月予算時の表示	設定済み月のみ表示/複数月時は適切に絞り込み	IMP-3.png	月別モーダル	未設定月+絞り込み			未検証	IMP-4統合。IMP-2(適用前月非表示)とIMP-5(単月保護)はv2仕様で対応済
不具合(モーダル)	BUG-9	新規設定分の適用開始月にチェック有CB表示	新規適用開始月を設定	新規分はチェックなし(デフォルト適用のみ)	BUG-9.png	親設定モーダル	チェックボックス表示	MA-1で確認済（パターンA確認ダイアログ、チェックボックスなし）	修正確認OK	単月設定0件時のパターンA表示でチェックボックス非表示を確認
不具合(モーダル)	BUG-10	親設定更新が予算系画面に未反映	BUG-4で単月設定月チェックON→更新	予算一覧/年間予実対比/予実対比/月次集計に反映	BUG-10.png	予算一覧+年間予実+予実対比+月次集計	4画面の値	R-5で部分的に確認（予算側OK、実績側NG）	一部NG	予算系画面の予算側は反映OK。実績側はR-5の既知問題（実績が旧値のまま）
改善	IMP-6	親設定→単月適用時デフォルト計算額で上書き可能に	親設定から単月月適用	ステータスを単月デフォルト計算額とし上書き可能	IMP-6.png	親設定モーダル+単月モーダル	上書き可否			未検証	現状:単月設定扱いで上書き不可
確認済	OK-1	年間予実対比の反映	設定値の反映状況確認	予算&実績:日割りなし、月額計上	-	年間予実対比	予算&実績の計上方式		OK	月額計上で正常反映
確認済	OK-2	予実対比の反映	設定値の反映状況確認	予算&実績:日割り足しあげ	-	予実対比	予算&実績の計上方式		OK	日割り足しあげで正常反映
確認済	OK-3	月次集計の反映	設定値の反映状況確認	予算:月額計上、実績:日割り足しあげ	-	月次集計	予算&実績の計上方式		OK	予算月額+実績日割りで正常反映
修正確認	FIX-1	親設定保存後フリーズ解消	親設定を保存する	保存後に画面操作が継続できる（薄グレーフリーズしない）。設定完了の青帯表示後、強制更新なしで操作可能	FIX-1.png	設定画面	フリーズしないか/画面操作可能か	「賃料設定を更新しました」青帯表示OK。画面フリーズなし、操作継続可能	OK	修正確認済。保存後の薄グレーフリーズ解消
修正確認	FIX-2	月次予算設定月が年間予算一覧に反映	月次予算を設定・保存後、年間予算一覧を確認	月次予算設定した月分が年間予算一覧に地代家賃として追加される	FIX-2.png	月次予算設定+年間予算一覧	予算設定月の反映有無	予算構成で4月¥1,035,837/5月¥800,000の反映確認。月次予算設定4月売上¥25,316,744確認	OK	修正確認済。月次予算設定月が予算構成に正常反映
修正確認	FIX-3	実績値の歩合計算反映（R-5+BUG-10統合）	親設定パラメータ変更後、4月の年間予実対比・予実対比を確認	4月の実績値が予算額と同額（歩合計算値¥1,528,659）になる。最低保証額¥500,000のままでないこと	FIX-3.png	年間予実対比+予実対比	4月実績=予算（歩合計算値）	予算側:歩合計算¥1,035,837正常反映。実績側:ステージング環境にPOS売上データなし→最低保証額¥800,000は正常動作。予実対比(期間)日割り計算OK	OK	ステージング環境ではPOS売上データがないため実績側は最低保証額で正常。予算側の歩合計算は正常反映確認済。本番でPOS売上データ投入後に実績側の歩合計算を追加確認
修正確認	FIX-4	適用開始日変更時の履歴分割保存（R-7+R-9+BUG-1統合）	適用開始日を03/01→05/01に後ろ倒し、さらに06/01を新規追加	賃料設定一覧に旧設定が別レコードとして残る。前月の地代家賃が¥0にならない。適用開始月を主キーにデータ分割保存が可能	FIX-4.png	賃料設定一覧+予算構成+年間予実+予実対比+月次集計+感度分析	旧設定の履歴保存/前月データ消失しないか	賃料設定一覧:03/01(現在)+05/01(将来)+06/01(将来)の3行共存OK。予算構成:3月¥800,000/4月¥1,035,837/5月~¥800,000(全月データあり、¥0消失なし)。年間予実:3月100%/4月77.2%(ステージング正常)。予実対比期間OK。感度分析に小数値表示の軽微バグあり(既知)	OK	修正確認済。適用開始月を主キーに分割保存が正常動作。R-7/R-9/BUG-1の不具合解消
履歴設定	HS-1	異なるパラメータでの月別適用	前提:03/01(現在)+05/01(将来)+06/01(将来)の3行。05/01設定を編集:固定¥300,000/売上歩合率3段目を10%→15%に変更/最低保証¥500,000に変更。他(段階数・1段目5%・2段目8%・対象率50%)はP-0のまま。06/01設定はP-0のまま	5月:¥500,000(変更後の最低保証)/4月:¥1,035,837(03/01設定のまま)/6月:¥800,000(06/01設定=P-0の最低保証)	HS-1.png	予算構成+年間予実+単月モーダル	各月が正しい設定のパラメータで計算されるか	予算構成:3月¥800,000/4月¥1,035,837/5月¥500,000/6月¥800,000。5月モーダル:固定¥300,000/15%/最低保証¥500,000正しく表示。6月モーダル:P-0(固定¥180,532/10%/最低保証¥800,000)正しく表示	OK	各月が対応する適用開始日の設定パラメータで正しく計算されている
履歴設定	HS-2	中間設定の削除	HS-1後。05/01設定を削除	5月が03/01設定のデフォルト計算額(¥800,000)に戻る。4月/6月に影響なし	HS-2.png	賃料設定一覧+予算構成	削除後の5月の値/他月への影響	賃料設定一覧:06/01+03/01の2行。予算構成:5月¥500,000→¥800,000に復帰(03/01設定適用)。4月¥1,035,837/6月¥800,000変わらず	OK	中間設定削除後、該当月が前の設定に正しくフォールバック。他月に影響なし
履歴設定	HS-3	現在設定の編集	03/01(現在)の設定を編集:最低保証¥600,000に変更	3月:¥600,000/4月:歩合計算値/5月:¥600,000。06/01以降に影響なし	HS-3.png	予算構成+年間予実+単月モーダル	現在設定の変更が適用範囲内のみに反映されるか	予算構成:3月¥600,000/4月¥1,035,829/5月¥600,000/6月¥800,000(06/01設定維持)。4月モーダル:最低保証¥600,000反映。6月モーダル:P-0(最低保証¥800,000)維持。予実対比3月:予算=実績=¥600,000(100%)	OK	現在設定の変更が適用範囲(3-5月)のみに反映。06/01以降は影響なし
履歴設定	HS-4	将来設定の削除で現在設定に復帰	06/01設定を削除	3月〜12月すべてが03/01設定のデフォルト計算額で適用	HS-4.png	賃料設定一覧+予算構成+全画面	全月が03/01設定に統一されるか	賃料設定一覧:03/01の1行のみ。予算構成:3月¥600,000/4月¥1,035,829/5月~¥600,000で全月統一。年間予実・予実対比・月次集計・感度分析すべて正常反映	OK	将来設定削除後、全月が現在設定(03/01)に統一。感度分析の小数値表示バグは既知
