段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層2:単月設定の全画面反映	G-2	年間予算一覧(予算構成)	G-1変更後	5月:地代家賃¥300,000	G-2_年間予算一覧.png	年間予算一覧(予算構成)	5月の地代家賃のみ変化		未検証	単月設定¥300,000が予算に反映
層2:単月設定の全画面反映	G-3	月次予算設定(5月)	G-1変更後	予算構成の地代家賃=¥300,000	G-3_月次予算設定5月.png	月次予算設定(5月)	予算構成に単月設定値が反映		未検証	予算のみの画面。単月設定¥300,000が反映
層2:単月設定の全画面反映	G-4	年間予実対比(5月)	G-1変更後	5月:予算¥300,000=実績¥300,000	G-4_年間予実対比.png	年間予実対比(地代家賃行)	予算=実績が成立するか(3月で発覚した不具合2の再現確認)		未検証	【要注意】3月では単月設定が実績に未反映(実績がDEFAULTのまま)だった。5月でも同様か確認
層2:単月設定の全画面反映	G-5	予実対比(期間)	G-1変更後	未来月のため表示不可/または予算=実績=¥300,000×日割り率	G-5_予実対比5月.png	予実対比(5月)	未来月の予実対比での単月設定反映		未検証	表示される場合、3月で発覚した不具合(予算日割り未適用+実績がDEFAULT)の再現確認
層2:単月設定の全画面反映	G-6	月次集計(5月)	G-1変更後	固定費予算がF-5から¥150,000減少	G-6_月次集計5月.png	月次集計(5月)	固定費予算の変化		未検証	450,000-300,000=150,000の差額が固定費予算に反映
層2:単月設定の全画面反映	G-7	親設定画面	G-1変更後	単月設定一覧に5月¥300,000が表示	G-7_親設定画面.png	地代家賃設定画面	単月設定の履歴表示		未検証	単月設定一覧に5月の行が追加
層3:単月リセットの全画面反映	H-1	5月の単月設定リセット	5月の単月設定を削除(月次設定を削除)	デフォルト計算額¥450,000に復帰	H-1_単月リセット.png	単月地代家賃設定モーダル(5月)	リセット後の値		未検証	月次設定を削除→デフォルト¥450,000に戻る
層3:単月リセットの全画面反映	H-2	年間予算一覧(予算構成)	H-1リセット後	5月:地代家賃¥450,000に復帰	H-2_年間予算一覧.png	年間予算一覧(予算構成)	F-1と同じ値に戻るか		未検証	単月設定リセット→DEFAULT¥450,000に復帰
層3:単月リセットの全画面反映	H-3	月次予算設定(5月)	H-1リセット後	予算構成の地代家賃=¥450,000	H-3_月次予算設定5月.png	月次予算設定(5月)	F-2と同じ値に戻るか		未検証	DEFAULT計算額に復帰
層3:単月リセットの全画面反映	H-4	年間予実対比(5月)	H-1リセット後	5月:予算¥450,000=実績¥450,000	H-4_年間予実対比.png	年間予実対比(地代家賃行)	F-3と同じ値に戻るか		未検証	親設定DEFAULT¥450,000が予算・実績に入る
層3:単月リセットの全画面反映	H-5	月次集計(5月)	H-1リセット後	固定費予算がF-5と同額に復帰	H-5_月次集計5月.png	月次集計(5月)	F-5と同じ値に戻るか		未検証	固定費予算がリセット前の基準値に復帰
層3:単月リセットの全画面反映	H-6	親設定画面	H-1リセット後	単月設定一覧から5月が消える	H-6_親設定画面.png	地代家賃設定画面	単月設定の履歴から削除		未検証	単月設定一覧から5月の行が削除
層4:親設定変更後の全画面反映	I-0	親設定の固定賃料変更	固定賃料¥100,000→¥200,000に変更(他条件はそのまま)/適用開始日2026-05-01	新DEFAULT=¥500,000	I-0_賃料設定変更.png	地代家賃設定画面	設定変更完了+シミュレーション金額確認		未検証	歩合合計300,000は変わらず/合算200,000+300,000=500,000/MAX(500,000,450,000)=500,000(合算が最低保証¥450,000を超過→歩合合算が適用)
層4:親設定変更後の全画面反映	I-1	年間予算一覧(予算構成)	I-0変更後	5月:地代家賃¥500,000	I-1_年間予算一覧.png	年間予算一覧(予算構成)	新DEFAULT計算額が反映		未検証	固定賃料変更により合算500,000>最低保証450,000(層1では最低保証適用だったが、層4では歩合合算が上回る)
層4:親設定変更後の全画面反映	I-2	月次予算設定(5月)	I-0変更後	予算構成の地代家賃=¥500,000	I-2_月次予算設定5月.png	月次予算設定(5月)	新DEFAULT計算額が反映		未検証	予算構成に¥500,000が含まれる
層4:親設定変更後の全画面反映	I-3	年間予実対比(5月)	I-0変更後	5月:予算¥500,000=実績¥500,000	I-3_年間予実対比.png	年間予実対比(地代家賃行)	新DEFAULT計算額で予算=実績が成立するか		未検証	親設定変更が予算・実績の両方に反映されるか
層4:親設定変更後の全画面反映	I-4	予実対比(期間)	I-0変更後	未来月のため表示不可/または予算=実績=¥500,000×日割り率	I-4_予実対比5月.png	予実対比(5月)	新DEFAULT計算額での予実対比		未検証	表示される場合は日割り計算の確認
層4:親設定変更後の全画面反映	I-5	月次集計(5月)	I-0変更後	固定費予算に¥500,000が含まれる(H-5から¥50,000増加)	I-5_月次集計5月.png	月次集計(5月)	固定費予算の変化		未検証	500,000-450,000=50,000の増加が固定費予算に反映
層4:親設定変更後の全画面反映	I-6	4月への影響なし	I-0変更後	4月の地代家賃は旧設定のまま変化なし	I-6_年間予算一覧4月.png	年間予算一覧(予算構成)	4月の値が変わっていないか		未検証	適用開始日05/01の変更は4月以前に影響しない
