段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
親設定	R-1	設定画面+一覧+費用設定	P-0で保存	一覧に03/01表示/費用設定「-」	R-1.png	設定+費用設定	一覧+費用設定	OK	OK	設定情報確認
親設定	R-2	当月(3月)全画面	保存後	予算800,000/予実=月額/期間=日割り/集計=予算月額+実績日割り	R-2.png	5画面	当月5画面に反映		未検証	最低保証800,000。予算=実績
親設定	R-3	来月(4月)予算系	保存後/4月売上24M	年間予算970,000/月次予算に970,000	R-3.png	予算一覧+月次予算	来月は予算系のみ		未検証	歩合970,000>最低保証→970,000
親設定	R-4	非適用月+未設定月	保存後	1-2月なし/6月ブランク	R-4.png	年間予算一覧	非適用月に値なし		未検証	適用前+予算未設定
親設定	R-5	パラメータ変更後全画面	親設定を編集:固定¥300,000/段階3の歩合率を15%に変更/最低保証¥500,000に変更。他はP-0のまま。保存後5画面確認	3月710,655/4月1,220,000/5月500,000	R-5.png	5画面	変更後DEFAULT反映		未検証	3月歩合最大に切替/4月歩合増/5月最低保証500K
親設定	R-6	営業利益差分	R-2→R-5	3月+89,345増	R-6.png	予算一覧(3月)	差分一致		未検証	800,000-710,655=89,345
親設定	R-7	後ろ倒し03/01→04/01	適用開始日変更	3月クリア/4月5月維持	R-7.png	予算一覧+予実対比	3月クリア		未検証	3月が適用対象外
親設定	R-8	前倒し04/01→03/01	R-7から戻す	3月に800,000再適用	R-8.png	予算一覧+予実対比	3月復活		未検証	3月が再適用
親設定	R-9	翌々月への適用	適用開始05/01に変更	3月4月クリア/5月800,000	R-9.png	年間予算一覧	翌々月に反映		未検証	5月最低保証800,000
親設定	R-10	登録順序	A:地代家賃先→月次予算後/B:逆	両方4月970,000	R-10.png	年間予算一覧	順序非依存		未検証	どちらでも同じ結果
親設定	R-11	削除後	設定を削除	全月ブランクor0	R-11.png	年間予算一覧	値クリア		未検証	DEFAULT消滅
単月設定	S-1	単月変更+設定画面	単月地代モーダルで3月の設定値を¥555,555に変更し保存	差額244,445/一覧に表示	S-1.png	モーダル+設定画面	値/差額/一覧	800,000/555,555	OK	差額=800,000-555,555=244,445
単月設定	S-2	当月予算系	S-1後	予算一覧555,555/月次予算555,555	S-2.png	予算一覧+月次予算	予算に反映	555,555	OK	予算反映
単月設定	S-3	当月予実対比	S-1後	年間予実:予算555,555=実績555,555	S-3.png	年間予実対比	予算=実績か	予算555,555/実績800,000	NG	不具合:実績にDEFAULT残存
単月設定	S-4	当月期間+月次集計	S-1後	期間:日割り/集計:実績も変化	S-4.png	予実対比+月次集計	日割り+実績変化	予算555,555/実績608,000	NG	不具合:日割り未適用+DEFAULT実績
単月設定	S-5	リセット	月次設定を削除	800,000に復帰	S-5.png	単月モーダル	リセット後	800,000	OK	復帰正常
単月設定	S-6	リセット後予算系	S-5後	予算一覧800,000/月次予算800,000	S-6.png	予算一覧+月次予算	復帰確認	800,000	OK	復帰
単月設定	S-7	リセット後予実+集計	S-5後	年間予実800,000=800,000/集計復帰	S-7.png	年間予実+月次集計	基準値に戻るか	800,000	OK	R-2と一致
単月設定	S-8	リセット後設定画面	S-5後	一覧から消える	S-8.png	設定画面	削除確認	800,000残存	OK	同額でも残存は仕様
月別モーダル	M-1	表示+タブ件数	保存時	登録済1件/未登録11件	M-1.png	月別モーダル	タブ件数	1件/11件	OK	3月のみ単月
月別モーダル	M-2	初期状態+ラベル	表示時	3月OFF+単月設定ラベル/他ON+デフォルトラベル	M-2.png	月別モーダル	チェック+ラベル	正しい	OK	設定済月保護
月別モーダル	M-3	全月選択/解除	ON/OFF切替	12件/0件	M-3.png	月別モーダル	件数連動	連動OK	OK	正常
月別モーダル	M-4	設定済月上書き	3月チェックONで反映	デフォルトで上書き	M-4.png	モーダル+予算構成	上書き動作	確認済	OK	正常
月別モーダル	M-5	適用開始日境界	表示時	1-2月は0/3月以降にデフォルト	M-5.png	月別モーダル	1-2月の扱い	全月表示/反映3月のみ	OK	予算設定月のみ
月別モーダル	M-6	複数月予算あり	3月+4月予算あり	2月分の値が正しい	M-6.png	月別モーダル	複数月の表示		未検証	設定済/未設定の区別
設定管理	RS-1	一覧+情報+計算式	P-0保存後	全パラメータ一致	RS-1.png	設定画面	一覧+情報+計算式		未検証	全項目一致
設定管理	RS-2	複数適用開始日	03/01+05/01	2行表示	RS-2.png	設定画面	共存		未検証	現在/予定ステータス
設定管理	RS-3	設定削除	05/01を削除	他に影響なし	RS-3.png	設定画面	削除後		未検証	5月が旧設定に戻るか
設定管理	RS-4	編集(適用日変更なし)	内容のみ変更	更新/他影響なし	RS-4.png	設定画面	編集後		未検証	適用日変えず内容変更
設定管理	RS-5	複数月の単月設定	3月555,555+4月450,000	2行表示	RS-5.png	設定画面	複数月		未検証	独立管理
不具合(一覧)	BUG-1	新規設定で前月設定消える	03/01ありで04/01追加	2行が残る	BUG-1.png	設定画面	03/01が消えないか		未検証	既知:前月設定が消える
不具合(一覧)	BUG-2	親設定消失後のデフォルト	BUG-1で03/01消失時	デフォルト800,000のまま	BUG-2.png	単月モーダル	計算額と条件詳細		未検証	既知:費用設定ベースになる
不具合(モーダル)	BUG-3	単月のみ指定→単月扱い	3月のみチェックON	親設定DEFAULTとして適用	BUG-3.png	モーダル+設定画面	単月設定扱いか		未検証	既知:単月設定で上書き不可
不具合(モーダル)	BUG-4	単月チェック→更新不可	単月設定月にチェックON	DEFAULTで更新	BUG-4.png	予算一覧+予実対比	更新されるか		未検証	既知:設定額のまま反映なし
不具合(単月)	BUG-5	リセットでデフォルト戻らず	555,555をリセット	800,000に復帰	BUG-5.png	単月モーダル	デフォルト計算額		未検証	既知:親設定値に戻らない
不具合(単月)	BUG-6	計算式不正+差額非表示	条件詳細展開/555,555入力	段階別歩合/大きい方+差額244,445	BUG-6.png	単月モーダル	条件+差額		未検証	既知:不正定義+差額なし
不具合(単月)	BUG-7	設定値変更でデフォルトも変化	555,555→400,000に変更	デフォルト800,000のまま	BUG-7.png	単月モーダル	デフォルトが連動しないか		未検証	既知:デフォルトが入力値と同額に
不具合(単月)	BUG-8	単月設定が実績に未反映	555,555設定後の全画面	予算=実績=555,555	BUG-8.png	予実対比+年間予実+集計	実績が単月ベースか		未検証	既知:実績がDEFAULTのまま
適用日不具合	BUG2-1	予算作成済み月へ変更	03/01を04/01に変更	保存可否	BUG2-1.png	設定画面	保存可否		未検証	保存不可の再現
適用日不具合	BUG2-2	新規追加で回避	新規に04/01追加	保存成功	BUG2-2.png	設定画面	新規は可能か		未検証	編集vs新規
適用日不具合	BUG2-3	予算未作成月へ変更	07/01に変更	保存可否	BUG2-3.png	設定画面	予算有無の影響		未検証	切り分け
適用日不具合	BUG2-4	過去月への変更	01/01に変更	保存可否	BUG2-4.png	設定画面	過去月エラー		未検証	変更可否
適用日不具合	BUG2-5	同一適用日で内容変更	03/01のまま内容変更	保存成功	BUG2-5.png	設定画面	内容変更可能か		未検証	適用日が原因か
改善	IMP-1	期間選択UI追加	年間予実+予算一覧の現状	カレンダー選択追加要望	IMP-1.png	年間予実+予算一覧	期間選択UI		未検証	予実対比にはある
改善	IMP-2	モーダル:適用前月非表示	1-2月の表示	適用開始月以降のみ	IMP-2.png	月別モーダル	適用前月		未検証	現状:適用前も表示
改善	IMP-3	モーダル:予算未設定月非表示	4月以降の表示	設定済み月のみ	IMP-3.png	月別モーダル	未設定月		未検証	現状:未設定も表示
改善	IMP-4	モーダル:複数月予算時	3月+4月予算あり	2月分のみ表示	IMP-4.png	月別モーダル	絞り込み		未検証	期待:2月分のみ
改善	IMP-5	モーダル:単月設定月の保護	3月単月あり	チェックOFF	IMP-5.png	月別モーダル	初期状態		未検証	設定済み月保護
不具合(モーダル)	BUG-9	新規設定分の適用開始月にチェック有CB表示	新規適用開始月を設定	新規分はチェックなし(デフォルト適用のみ)	BUG-9.png	親設定モーダル	チェックボックス表示		未検証	新規設定分にチェック有CBが表示される不具合
不具合(モーダル)	BUG-10	親設定更新が予算系画面に未反映	BUG-4で単月設定月チェックON→更新	予算一覧/年間予実対比/予実対比/月次集計に反映	BUG-10.png	予算一覧+年間予実+予実対比+月次集計	4画面の値		未検証	BUG-4関連:単月設定額のまま変わらない
改善	IMP-6	親設定→単月適用時デフォルト計算額で上書き可能に	親設定から単月月適用	ステータスを単月デフォルト計算額とし上書き可能	IMP-6.png	親設定モーダル+単月モーダル	上書き可否		未検証	現状:単月設定扱いで上書き不可
確認済	OK-1	年間予実対比の反映	設定値の反映状況確認	予算&実績:日割りなし、月額計上	-	年間予実対比	予算&実績の計上方式		OK	月額計上で正常反映
確認済	OK-2	予実対比の反映	設定値の反映状況確認	予算&実績:日割り足しあげ	-	予実対比	予算&実績の計上方式		OK	日割り足しあげで正常反映
確認済	OK-3	月次集計の反映	設定値の反映状況確認	予算:月額計上、実績:日割り足しあげ	-	月次集計	予算&実績の計上方式		OK	予算月額+実績日割りで正常反映
