段階	検証ID	賃料パターン	入力値	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層2	L2-2	段階別歩合最大値選択	L1-5保存後	各月800000以上	L2-2_予算構成.png	予算構成(地代家賃行)	各月の地代家賃額	3月800000	OK	最低保証800000が適用
層2	L2-2b	適用開始日の境界	L1-5保存後	1-2月旧設定値/3月以降新設定値	L2-2b_予算構成_全月.png	予算構成(地代家賃行)	適用開始日前後の切替	1-2月0(設定なし)/3月800000	OK	1-2月は適用開始日前 3月以降は新設定800000
層2	L2-3	段階別歩合最大値選択	L1-5保存後	粗利-利益目標の逆算値	L2-3_月次予算設定3月.png	月次予算設定(3月)	固定費用予算	固定費用予算2843953(=粗利3095848-利益251895)	OK	固定費用予算=粗利-利益目標で計算一致
層2	L2-4	段階別歩合最大値選択	L1-5保存後	L2-2の3月地代家賃と同額	L2-4_単月費用設定3月.png	単月費用設定モーダル(3月)	デフォルト計算額	デフォルト計算額800000 前回67000バグ修正済	OK	デフォルト計算額800000=L2-2の800000と一致
層2	L2-5	段階別歩合最大値選択	L1-5保存後	L2-2の各月地代家賃と全月一致	L2-5_年間予実対比.png	年間予実対比(地代家賃行)	全月の予算値	3月予算800000/実績800000/差額0/比率100%	OK	予算構成と一致
層2	L2-6	段階別歩合最大値選択	L1-5保存後	L2-2の3月地代家賃と同額	L2-6_予実対比3月.png	予実対比(3月)	地代家賃の予算値	予算448000(日割56%x800000)/実績800000/対比率178.6%	OK	月額800000x56%=448000
層2	L2-7	段階別歩合最大値選択	L1-5保存後	L2-3の固定費用予算と同額	L2-7_月次集計3月.png	月次集計(3月)	固定費予算(グレー部分)	固定費予算(グレー)2843953	OK	L2-3の2843953と一致
層3	L3-0	L1-5設定を維持	-	基準値を記録	L3-0_月次予算設定3月.png	月次予算設定(3月)	固定費用予算の基準値を記録	基準値固定費用予算2843953(=L2-3と同値)	OK	以降の比較基準
層3	L3-1	3月を555555に単月変更	単月地代家賃設定モーダルで555555に変更	3月555555/他月800000	L3-1_予算構成.png	予算構成(地代家賃行)	3月だけ変化		再確認	単月設定が予算構成に反映
層3	L3-2	単月変更後	-	555555	L3-2_予実対比3月.png	予実対比(3月)	地代家賃の予算値		再確認	日割り表示 月額555555x56%=311111
層3	L3-3	単月変更後	-	3月予算555555	L3-3_年間予実対比.png	年間予実対比(地代家賃行)	3月の予算値が555555		未検証	年間予実対比でも単月設定値が反映されるか
層3	L3-4	単月変更後	-	固定費予算2599508(=2843953-244445)	L3-4_月次集計3月.png	月次集計(3月)	固定費予算の変化		未検証	地代家賃差額244445(=800000-555555)が固定費予算に反映
層3R	L3R-1	3月の単月設定をリセット	単月モーダルでリセット押下	3月800000(デフォルト計算額)に復帰	L3R-1_予算構成.png	予算構成(地代家賃行)	3月がデフォルト計算額に戻る		未検証(前回NG)	単月モーダルのリセットで単月設定削除
層3R	L3R-2	単月リセット後	-	予実対比の予算値がデフォルト計算額に戻る	L3R-2_予実対比3月.png	予実対比(3月)	地代家賃予算値が800000ベースに戻る		未検証(前回NG)	日割り表示で800000x日割率の値になるか
層3R	L3R-3	単月リセット後	-	固定費用予算が基準値2843953に復帰	L3R-3_月次予算設定3月.png	月次予算設定(3月)	固定費用予算が基準値に戻る		未検証(前回NG)	L3-0の基準値に戻るか
