段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
設定管理	RS-1	一覧+情報+計算式	P-0保存後	全パラメータ一致	RS-1.png	設定画面	一覧+情報+計算式	段階別歩合/最大値選択/3段階/固定180,532/5%8%10%/最低保証800,000/対象率50%/適用開始03/01 全一致	OK	全項目一致
設定管理	RS-2	複数適用開始日	03/01+05/01	2行表示	RS-2.png	設定画面	共存	複数適用開始日の登録ができない	実施不可	現仕様では同一店舗に複数の適用開始日で親設定を登録できない
設定管理	RS-3	設定削除	05/01を削除	他に影響なし	RS-3.png	設定画面	削除後	RS-2が実施不可のため検証不可	実施不可	RS-2前提。賃料設定一覧に適用開始月別で履歴保存できないため(BUG-1と同根)
設定管理	RS-4	編集(適用日変更なし)	最低保証額を¥500,000→¥600,000に変更(適用開始日04/01のまま)	更新成功/5月が¥600,000に変更/4月は歩合維持	RS-4.png	設定画面+予算構成+年間予実+予実対比	編集後	更新OK/5月¥500,000→¥600,000(最低保証反映)/4月¥1,528,679(歩合>最低保証で維持)	OK	適用日変えず内容変更OK。他月に不正な影響なし
設定管理	RS-5	複数月の単月設定	3月555,555+4月450,000	2行表示	RS-5.png	設定画面	複数月		未検証	独立管理
不具合(一覧)	BUG-1	新規設定で前月設定消える	03/01ありで04/01追加	2行が残る	BUG-1.png	設定画面	03/01が消えないか		未検証	既知:前月設定が消える
不具合(一覧)	BUG-2	親設定消失後のデフォルト	BUG-1で03/01消失時	デフォルト800,000のまま	BUG-2.png	単月モーダル	計算額と条件詳細		未検証	既知:費用設定ベースになる
不具合(モーダル)	BUG-3	単月のみ指定→単月扱い	3月のみチェックON	親設定DEFAULTとして適用	BUG-3.png	モーダル+設定画面	単月設定扱いか	修正後:親設定適用後に「単月設定はありません」表示	修正確認OK	修正済:親設定適用時に単月設定として保存されなくなった
不具合(モーダル)	BUG-4	単月チェック→更新不可	単月設定月にチェックON	DEFAULTで更新	BUG-4.png	予算一覧+予実対比	更新されるか		未検証	既知:設定額のまま反映なし
不具合(単月)	BUG-5	リセットでデフォルト戻らず	555,555をリセット	800,000に復帰	BUG-5.png	単月モーダル	デフォルト計算額		未検証	既知:親設定値に戻らない
不具合(単月)	BUG-6	計算式不正+差額非表示	条件詳細展開/555,555入力	段階別歩合/大きい方+差額244,445	BUG-6.png	単月モーダル	条件+差額		未検証	既知:不正定義+差額なし
不具合(単月)	BUG-7	設定値変更でデフォルトも変化	555,555→400,000に変更	デフォルト600,000のまま	BUG-7.png	単月モーダル	デフォルトが連動しないか	¥555,555→¥400,000に変更してもデフォルト計算額¥600,000のまま固定。差額表示も正常	修正確認OK	デフォルト計算額が入力値に連動せず正常
不具合(単月)	BUG-8	単月設定が実績に未反映	555,555設定後の全画面	予算=実績=555,555	BUG-8.png	予実対比+年間予実+集計	実績が単月ベースか		未検証	既知:実績がDEFAULTのまま
適用日不具合	BUG2-1	予算作成済み月へ変更	03/01を04/01に変更	保存可否	BUG2-1.png	設定画面	保存可否		未検証	保存不可の再現
適用日不具合	BUG2-2	新規追加で回避	新規に04/01追加	保存成功	BUG2-2.png	設定画面	新規は可能か		未検証	編集vs新規
適用日不具合	BUG2-3	予算未作成月へ変更	07/01に変更	保存可否	BUG2-3.png	設定画面	予算有無の影響		未検証	切り分け
適用日不具合	BUG2-4	過去月への変更	01/01に変更	保存可否	BUG2-4.png	設定画面	過去月エラー		未検証	変更可否
適用日不具合	BUG2-5	同一適用日で内容変更	03/01のまま内容変更	保存成功	BUG2-5.png	設定画面	内容変更可能か		未検証	適用日が原因か
改善	IMP-1	期間選択UI追加	年間予実+予算一覧の現状	カレンダー選択追加要望	IMP-1.png	年間予実+予算一覧	期間選択UI		未検証	予実対比にはある
改善	IMP-3	モーダル:予算未設定月・複数月の表示改善	予算未設定月や複数月予算時の表示	設定済み月のみ表示/複数月時は適切に絞り込み	IMP-3.png	月別モーダル	未設定月+絞り込み		未検証	IMP-4統合。IMP-2(適用前月非表示)とIMP-5(単月保護)はv2仕様で対応済
不具合(モーダル)	BUG-9	新規設定分の適用開始月にチェック有CB表示	新規適用開始月を設定	新規分はチェックなし(デフォルト適用のみ)	BUG-9.png	親設定モーダル	チェックボックス表示		未検証	新規設定分にチェック有CBが表示される不具合
不具合(モーダル)	BUG-10	親設定更新が予算系画面に未反映	BUG-4で単月設定月チェックON→更新	予算一覧/年間予実対比/予実対比/月次集計に反映	BUG-10.png	予算一覧+年間予実+予実対比+月次集計	4画面の値		未検証	BUG-4関連:単月設定額のまま変わらない
改善	IMP-6	親設定→単月適用時デフォルト計算額で上書き可能に	親設定から単月月適用	ステータスを単月デフォルト計算額とし上書き可能	IMP-6.png	親設定モーダル+単月モーダル	上書き可否		未検証	現状:単月設定扱いで上書き不可
確認済	OK-1	年間予実対比の反映	設定値の反映状況確認	予算&実績:日割りなし、月額計上	-	年間予実対比	予算&実績の計上方式		OK	月額計上で正常反映
確認済	OK-2	予実対比の反映	設定値の反映状況確認	予算&実績:日割り足しあげ	-	予実対比	予算&実績の計上方式		OK	日割り足しあげで正常反映
確認済	OK-3	月次集計の反映	設定値の反映状況確認	予算:月額計上、実績:日割り足しあげ	-	月次集計	予算&実績の計上方式		OK	予算月額+実績日割りで正常反映
